contactsandfaults_id,type,isconcealed,existenceconfidence,identityconfidence,locationconfidencemeters,label,datasourceid,notes,symbol
GMA.ContactsAndFaults.13865,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13866,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13867,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13868,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.136,,61
GMA.ContactsAndFaults.13869,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13870,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.136,,61
GMA.ContactsAndFaults.13871,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13872,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13873,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13874,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
GMA.ContactsAndFaults.13875,Fault,0,Standard Confidence,Standard Confidence,0,High-Angle Active Fault,GMA.DataSources.25,,307
GMA.ContactsAndFaults.13876,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.81,,61
GMA.ContactsAndFaults.13877,Fault,0,Standard Confidence,Standard Confidence,0,Quaternary Fault,GMA.DataSources.25,,61
