standardlithology_id,mapunit,parttype,lithology,proportionterm,proportionvalue,scientificconfidence,datasourceid
GMA.StandardLithology.6,KJs,Not Assigned,Sedimentary breccia,Not specified,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.4,KJs,Not Assigned,Conglomeratic sandstone,Subordinate,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.141,Kmv,Not Assigned,Sandstone (sandy rock of SLTTs),Dominant,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.143,Kmv,Not Assigned,Shale,Subordinate,0,Standard Confidence,GMA.DataSources.197
GMA.StandardLithology.142,Kmv,Not Assigned,Coal,Not specified,0,Standard Confidence,GMA.DataSources.208
GMA.StandardLithology.114,Ks,Not Assigned,Sandstone (sandy rock of SLTTs),Dominant,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.115,Ks,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Not specified,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.113,Ks,Not Assigned,Mudstone (mudrock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.25,Jm,Not Assigned,Sandstone (sandy rock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.24,Jm,Not Assigned,Conglomeratic sandstone,Minor,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.23,Jm,Not Assigned,Mudstone (mudrock of SLTTs),Dominant,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.89,Jsv,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.90,Jsv,Not Assigned,Sandstone (sandy rock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.85,Jsv,Not Assigned,Intermediate-composition fine-grained rock,Present,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.86,Jsv,Not Assigned,Phyllite,Present,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.87,Jsv,Not Assigned,Mudstone (mudrock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.88,Jsv,Not Assigned,Volcanic-lithic sedimentary rock (tuffite),Minor,0,Standard Confidence,GMA.DataSources.196
GMA.StandardLithology.159,Jg,Not Assigned,Granitic rock (granitoid),Dominant,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.172,Jv,Not Assigned,Sandstone (sensu stricto Folk),Not specified,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.171,Jv,Not Assigned,Welded tuff,Dominant,0,Standard Confidence,GMA.DataSources.200
GMA.StandardLithology.170,Jv,Not Assigned,Rhyolitic rock,Dominant,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.169,Jv,Not Assigned,Dacitic rock,Present,0,Standard Confidence,GMA.DataSources.194
GMA.StandardLithology.167,J^,Not Assigned,Dacitic rock,Present,0,Standard Confidence,GMA.DataSources.194
GMA.StandardLithology.162,J^,Not Assigned,Sandstone (sensu stricto Folk),Minor,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.166,J^,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.165,J^,Not Assigned,Sandstone (sandy rock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.164,J^,Not Assigned,Calcsilicate foliated metamorphic rock,Minor,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.163,J^,Not Assigned,Rhyolitic rock,Present,0,Standard Confidence,GMA.DataSources.203
GMA.StandardLithology.116,}|,Not Assigned,Quartzo feldspathic granofels,Present,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.117,}|,Not Assigned,Phyllite,Present,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.118,}|,Not Assigned,Marble granofels,Present,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.119,}|,Not Assigned,Quartz feldspar pelitic schist,Subordinate,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.120,}|,Not Assigned,Impure marble,Subordinate,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.121,}|,Not Assigned,Quartzite granofels,Minor,0,Standard Confidence,GMA.DataSources.199
GMA.StandardLithology.32,Js,Not Assigned,Dolostone,Not specified,0,Standard Confidence,GMA.DataSources.205
GMA.StandardLithology.33,Js,Not Assigned,Mudstone (mudrock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.34,Js,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Not specified,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.31,Js,Not Assigned,Bentonite,Not specified,0,Standard Confidence,GMA.DataSources.209
GMA.StandardLithology.35,Js,Not Assigned,Sandstone (sandy rock of SLTTs),Dominant,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.160,Jgc,Not Assigned,Mudstone (mudrock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.161,Jgc,Not Assigned,Sandstone (sensu stricto Folk),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.47,^c,Not Assigned,Mudstone (mudrock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.45,^c,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Not specified,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.46,^c,Not Assigned,Sandstone (sandy rock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.125,^cs,Not Assigned,Mudstone (mudrock of SLTTs),Minor,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.126,^cs,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Dominant,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.127,^cs,Not Assigned,Conglomerate (sensu stricto Folk),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.128,^cs,Not Assigned,Gravelly sand,Subordinate,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.190,^m,Not Assigned,Sandstone (sandy rock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.189,^m,Not Assigned,Mudstone (mudrock of SLTTs),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.188,^m,Not Assigned,Gypsum rock,Not specified,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.191,^m,Not Assigned,Sandstone (sensu stricto Folk),Present,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.197,|,Not Assigned,Mudstone (mudrock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
